Cell_line	Cancer_type	Tissue_type	SIDM	growth_properties	MSI_status	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type_detail	sample_site	gender	ethnicity	smoking_status	BROAD_ID	COSMIC_ID	CCLE_ID
P32-ISH	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM00362	Unknown	MSS	True	True	True	False	True	True	Burkitt's Lymphoma	Peripheral blood	Male	East Asian	Unknown	ACH-002293	1330987	P32ISH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DMS-273	Small Cell Lung Carcinoma	Lung	SIDM00522	Adherent	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Pleural effusion	Female	Unknown	Unknown	ACH-000749	687985	DMS273_LUNG
IMR-5	Neuroblastoma	Peripheral Nervous System	SIDM01206	Adherent	MSS	True	True	True	False	True	True	Neuroblastoma	Abdominal Mass	Male	White	Unknown	ACH-002248	907170	IMR5_AUTONOMIC_GANGLIA
HuO-3N1	Osteosarcoma	Bone	SIDM00584	Unknown	MSS	True	True	True	False	True	True	Osteosarcoma	Ilium	Female	Unknown	Unknown	ACH-002142	909977	HUO3N1_BONE
H9	T-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM01251	Suspension	MSS	True	True	True	False	True	True	Mycosis Fungoides and Sezary Syndrome	Unknown	Male	White	Unknown	ACH-002240	907043	H9_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JiyoyeP-2003	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM00808	Suspension	MSS	True	True	True	False	False	True	Epstein-Barr Virus-Related Burkitt s Lymphoma	Ascites	Male	Black	Unknown	ACH-002252	907268	JIYOYEP2003_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MC-CAR	Non-Cancerous	Haematopoietic and Lymphoid	SIDM00636	Suspension	MSS	True	True	True	False	True	True	Non-Cancerous	Peripheral Blood	Male	White	Unknown	ACH-002270	683665	MCCAR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ASH-3	Thyroid Gland Carcinoma	Thyroid	SIDM00491	Adherent	MSS	True	True	True	False	True	True	Anaplastic Thyroid Carcinoma	Neck	Female	East Asian	Unknown	ACH-001443	1290722	ASH3_THYROID
WM278	Melanoma	Skin	SIDM00975	Adherent	MSS	True	True	True	False	True	True	Melanoma	Unknown	Unknown	Unknown	Unknown	ACH-002206	1240226	WM278_SKIN
PANC-08-13	Pancreatic Carcinoma	Pancreas	SIDM01136	Adherent	MSS	True	True	True	True	True	True	Pancreatic Ductal Adenocarcinoma	Pancreas	Male	White	Unknown	ACH-000417	925347	PANC0813_PANCREAS
MOLT-13	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00433	Suspension	MSI	True	True	True	False	False	True	Childhood T Acute Lymphoblastic Leukemia	Bone marrow	Female	Unknown	Unknown	ACH-000795	908146	MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CTV-1	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00951	Suspension	MSI	True	True	True	False	True	True	Adult Precursor T Lymphoblastic Leukemia	Peripheral blood	Unknown	Unknown	Unknown	ACH-002222	753548	CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCI-H1417	Small Cell Lung Carcinoma	Lung	SIDM00642	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Lung	Female	White	Unknown	ACH-001591	688001	NCIH1417_LUNG
COR-L23	Non-Small Cell Lung Carcinoma	Lung	SIDM00512	Adherent	MSS	True	True	True	True	True	True	Large Cell Lung Carcinoma	Pleural effusion	Male	White	Unknown	ACH-000662	687780	CORL23_LUNG
HEC-1	Endometrial Carcinoma	Endometrium	SIDM00596	Adherent	MSI	True	True	True	True	True	True	Endometrial Adenocarcinoma	Endometrium	Female	East Asian	Unknown	ACH-001517	907051	HEC1_ENDOMETRIUM
P30-OHK	B-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00364	Unknown	MSI	True	True	True	False	True	True	Childhood Precursor B Lymphoblastic Leukemia	Unknown	Female	East Asian	Unknown	ACH-002059	909252	P30OHK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JURL-MK1	Chronic Myelogenous Leukemia	Haematopoietic and Lymphoid	SIDM01015	Suspension	MSS	True	True	True	False	True	True	Chronic Myelogenous Leukemia	Peripheral Blood	Male	Unknown	Unknown	ACH-000326	1327771	JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
Daudi	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM00845	Suspension	MSS	True	True	True	False	True	True	Epstein-Barr Virus-Related Burkitt s Lymphoma	Peripheral Blood	Male	Black	Unknown	ACH-000786	906831	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PA-TU-8988T	Pancreatic Carcinoma	Pancreas	SIDM00453	Adherent	MSS	True	True	True	True	True	True	Pancreatic Adenocarcinoma	Liver	Female	Unknown	Unknown	ACH-000023	1240201	PATU8988T_PANCREAS
SiHa	Cervical Carcinoma	Cervix	SIDM01093	Adherent	MSS	True	True	True	False	True	True	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	Cervix	Female	Unknown	Unknown	ACH-000556	930297	SIHA_CERVIX
NCI-H2591	Mesothelioma	Lung	SIDM00101	Unknown	MSS	True	True	True	False	True	True	Pleural Epithelioid Mesothelioma	Unknown	Unknown	Unknown	Unknown	ACH-002126	1240131	H2591_PLEURA
COLO-678	Colorectal Carcinoma	Large Intestine	SIDM00957	Adherent	MSS	True	True	True	True	True	True	Colon Carcinoma	Lymph node	Male	Unknown	Unknown	ACH-000350	910689	COLO678_LARGE_INTESTINE
BE2-M17	Neuroblastoma	Peripheral Nervous System	SIDM01229	Adherent	MSS	True	True	True	True	True	True	Neuroblastoma	Bone marrow	Male	Unknown	Unknown	ACH-002217	753616	BE2M17_AUTONOMIC_GANGLIA
DiFi	Colorectal Carcinoma	Large Intestine	SIDM00049	Unknown	MSS	True	True	True	True	True	True	Colorectal Carcinoma	Ascites	Female	Unknown	Unknown	ACH-002233	1789883	DIFI_LARGE_INTESTINE
TUR	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM01205	Suspension	MSI	True	True	True	False	True	True	Adult Acute Differentiated Monocytic Leukemia	Unknown	Male	White	Unknown	ACH-002314	909773	TUR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCI-H2373	Mesothelioma	Lung	SIDM00103	Unknown	MSS	True	True	True	False	True	True	Pleural Sarcomatoid Mesothelioma	Unknown	Unknown	Unknown	Unknown	ACH-002124	1290809	H2373_PLEURA
OACM5-1	Esophageal Carcinoma	Esophagus	SIDM00444	Semi-Adherent	MSS	True	True	True	True	True	True	Esophageal Adenocarcinoma	Lymph node	Male	White	Unknown	ACH-001368	1503363	OACM51_OESOPHAGUS
UMC-11	Other Solid Carcinomas	Lung	SIDM01183	Adherent	MSS	True	True	True	False	True	True	Lung Carcinoid Tumor	Unknown	Unknown	Unknown	Unknown	ACH-001417	909779	UMC11_LUNG
SK-MG-1	Glioma	Central Nervous System	SIDM00379	Unknown	MSS	True	True	True	True	True	True	Astrocytoma	Unknown	Unknown	Unknown	Unknown	ACH-002304	909729	SKMG1_CENTRAL_NERVOUS_SYSTEM
ESO26	Esophageal Carcinoma	Esophagus	SIDM00539	Suspension	MSS	True	True	True	True	True	True	Esophageal Adenocarcinoma	Esophagus	Male	White	Unknown	ACH-001496	1503366	ESO26_OESOPHAGUS
SISO	Cervical Carcinoma	Cervix	SIDM00394	Adherent	MSS	True	True	True	False	True	True	Cervical Adenocarcinoma	Unknown	Female	East Asian	Unknown	ACH-001650	1240212	SISO_CERVIX
ESO51	Esophageal Carcinoma	Esophagus	SIDM00538	Suspension	MSS	True	True	True	True	True	True	Esophageal Adenocarcinoma	Esophagus	Male	White	Unknown	ACH-001497	1503367	ESO51_OESOPHAGUS
GP5d	Colorectal Carcinoma	Large Intestine	SIDM00537	Adherent	MSI	True	True	True	True	True	True	Colon Adenocarcinoma	Colon	Female	White	Unknown	ACH-001345	907291	GP5D_LARGE_INTESTINE
Hey	Ovarian Carcinoma	Ovary	SIDM00968	Adherent	MSS	True	True	True	True	True	True	High Grade Ovarian Serous Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-002140	1479988	HEY_OVARY
LB771-HNC	Head and Neck Carcinoma	Head and Neck	SIDM00182	Unknown	MSS	True	True	True	True	True	True	Head and Neck Squamous Cell Carcinoma	Unknown	Male	Unknown	Unknown	ACH-002265	753583	LB771HNC_UPPER_AERODIGESTIVE_TRACT
NCI-H720	Other Solid Carcinomas	Lung	SIDM01120	Suspension	MSS	True	True	True	False	True	True	Lung Carcinoid Tumor	Unknown	Male	Unknown	Unknown	ACH-002174	687600	NCIH720_LUNG
8505C	Thyroid Gland Carcinoma	Thyroid	SIDM00996	Adherent	MSS	True	True	True	False	True	True	Anaplastic Thyroid Carcinoma	Thyroid	Female	Unknown	Unknown	ACH-001307	924102	8505C_THYROID
KE-37	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM01003	Suspension	MSS	True	True	True	False	True	True	Adult Precursor T Lymphoblastic Leukemia	Unknown	Male	Unknown	Unknown	ACH-000101	907277	KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OACp4C	Esophageal Carcinoma	Esophagus	SIDM00445	Adherent	MSS	True	True	True	False	True	True	Esophageal Adenocarcinoma	Gastro-oesophageal junction (cardia)	Male	White	Unknown	ACH-002292	1503362	OACP4C_OESOPHAGUS
C-4-I	Cervical Carcinoma	Cervix	SIDM00905	Adherent	MSS	True	True	True	False	True	True	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	Cervix	Female	White	Unknown	ACH-001334	687506	C4I_CERVIX
23132-87	Gastric Carcinoma	Stomach	SIDM00980	Adherent	MSI	True	True	True	True	True	True	Gastric Adenocarcinoma	Unknown	Male	Unknown	Unknown	ACH-000948	910924	2313287_STOMACH
RERF-LC-Sq1	Squamous Cell Lung Carcinoma	Lung	SIDM00354	Unknown	MSS	True	True	True	True	True	True	Squamous Cell Lung Carcinoma	Lung	Female	East Asian	Unknown	ACH-000442	1298538	RERFLCSQ1_LUNG
SCC90	Head and Neck Carcinoma	Head and Neck	SIDM00399	Adherent		False	True	False	True	True	True	Head and Neck Squamous Cell Carcinoma	Tongue	Male	White	Unknown	ACH-002315	1299052	SCC90_UPPER_AERODIGESTIVE_TRACT
B-CPAP	Thyroid Gland Carcinoma	Thyroid	SIDM00992	Adherent	MSS	True	True	True	False	True	True	Papillary Thyroid Carcinoma	Unknown	Female	Unknown	Unknown	ACH-000456	924104	BCPAP_THYROID
NCI-H2722	Mesothelioma	Lung	SIDM00099	Unknown	MSS	True	True	True	False	True	True	Malignant Pleural Mesothelioma	Unknown	Unknown	Unknown	Unknown	ACH-002128	1290812	H2722_PLEURA
SW756	Cervical Carcinoma	Cervix	SIDM01174	Adherent	MSS	True	True	True	False	True	True	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	Unknown	Female	White	Unknown	ACH-001402	724839	SW756_CERVIX
NCI-H513	Other Solid Carcinomas	Lung	SIDM00114	Unknown	MSS	True	True	True	False	True	True	Adenosquamous Lung Carcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002335	1240141	NCIH513_PLEURA
EW-13	Ewing's Sarcoma	Bone	SIDM00621	Unknown	MSS	True	True	True	False	True	True	Ewing's Sarcoma	Unknown	Unknown	Unknown	Unknown	ACH-002113	949166	EW13_BONE
NEC8	Other Solid Carcinomas	Testis	SIDM00243	Unknown	MSS	True	True	True	False	True	True	Testicular Embryonal Carcinoma	Unknown	Male	East Asian	Unknown	ACH-002288	910942	NEC8_TESTIS
WM35	Melanoma	Skin	SIDM00974	Adherent	MSS	True	True	True	False	True	True	Melanoma	Unknown	Unknown	Unknown	Unknown	ACH-002207	1299080	WM35_SKIN
SAT	Head and Neck Carcinoma	Head and Neck	SIDM00350	Unknown	MSS	True	True	True	False	True	True	Head and Neck Squamous Cell Carcinoma	Oral cavity	Unknown	East Asian	Unknown	ACH-001641	1299050	SAT_UPPER_AERODIGESTIVE_TRACT
NCI-H2369	Mesothelioma	Lung	SIDM00104	Unknown	MSS	True	True	True	False	True	True	Malignant Pleural Mesothelioma	Unknown	Unknown	Unknown	Unknown		1290808	
SNU-182	Hepatocellular Carcinoma	Liver	SIDM01151	Adherent	MSS	True	True	True	False	True	True	Hepatocellular Carcinoma	Liver	Male	East Asian	Unknown	ACH-000483	1240216	SNU182_LIVER
A253	Head and Neck Carcinoma	Head and Neck	SIDM00796	Adherent	MSS	True	True	True	True	True	True	Salivary Gland Squamous Cell Carcinoma	Submaxillary salivary gland	Male	White	Unknown	ACH-000740	906794	A253_SALIVARY_GLAND
CAL-33	Oral Cavity Carcinoma	Head and Neck	SIDM00942	Adherent	MSS	True	True	True	True	True	True	Tongue Squamous Cell Carcinoma	Tongue	Male	Unknown	Unknown	ACH-000518	753541	CAL33_UPPER_AERODIGESTIVE_TRACT
697	B-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM01076	Suspension	MSS	True	True	True	False	False	True	B Acute Lymphoblastic Leukemia	Bone marrow	Male	Unknown	Unknown	ACH-000070	906800	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
LC-1-sq	Squamous Cell Lung Carcinoma	Lung	SIDM00300	Adherent	MSS	True	True	True	True	True	True	Squamous Cell Lung Carcinoma	Lung	Male	East Asian	Unknown	ACH-002156	1298223	LC1SQ_LUNG
EM-2	Chronic Myelogenous Leukemia	Haematopoietic and Lymphoid	SIDM01047	Suspension	MSS	True	True	True	False	True	True	Chronic Myelogenous Leukemia	Bone marrow	Female	White	Unknown	ACH-000295	906855	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TYK-nu	Ovarian Carcinoma	Ovary	SIDM00321	Unknown	MSS	True	True	True	True	True	True	High Grade Ovarian Serous Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-000430	909774	TYKNU_OVARY
KYSE-50	Esophageal Squamous Cell Carcinoma	Esophagus	SIDM00550	Unknown	MSS	True	True	True	False	True	True	Esophageal Squamous Cell Carcinoma	Unknown	Male	East Asian	Unknown	ACH-002264	1298222	KYSE50_OESOPHAGUS
RH-1	Ewing's Sarcoma	Bone	SIDM00427	Adherent	MSS	True	True	True	False	True	True	Ewing's Sarcoma	Bone marrow	Male	Unknown	Unknown	ACH-002194	971773	RH1_BONE
KCL-22	Chronic Myelogenous Leukemia	Haematopoietic and Lymphoid	SIDM01004	Suspension	MSI	True	True	True	False	True	True	Chronic Myelogenous Leukemia	Pleural effusion	Female	Unknown	Unknown	ACH-000983	1330931	KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DBTRG-05MG	Glioblastoma	Central Nervous System	SIDM00867	Adherent	MSS	True	True	True	True	True	True	Glioblastoma	Brain	Female	White	Unknown	ACH-000863	906835	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
HuO9	Osteosarcoma	Bone	SIDM00599	Adherent	MSS	True	True	True	False	True	True	Osteosarcoma	Unknown	Female	East Asian	Unknown	ACH-001526	907072	HUO9_BONE
TOV-112D	Ovarian Carcinoma	Ovary	SIDM01170	Adherent	MSS	True	True	True	True	False	True	Ovarian Endometrioid Adenocarcinoma	Ovary	Female	Unknown	Unknown	ACH-000048	1299070	TOV112D_OVARY
VA-ES-BJ	Other Solid Carcinomas	Soft Tissue	SIDM01179	Adherent	MSS	True	True	True	False	True	True	Epithelioid Sarcoma	Bone marrow	Male	White	Unknown	ACH-001702	688121	VAESBJ_SOFT_TISSUE
HT-1080	Other Solid Carcinomas	Soft Tissue	SIDM00828	Adherent	MSS	True	True	True	False	False	True	Fibrosarcoma	Connective tissue	Male	White	Unknown	ACH-000054	907064	HT1080_SOFT_TISSUE
NCI-H2170	Squamous Cell Lung Carcinoma	Lung	SIDM00716	Adherent	MSS	True	True	True	True	True	True	Squamous Cell Lung Carcinoma	Unknown	Male	Unknown	Unknown	ACH-000481	687815	NCIH2170_LUNG
T47D	Breast Carcinoma	Breast	SIDM00097	Adherent	MSS	True	True	True	True	True	True	Invasive Ductal Carcinoma not Otherwise Specified	Pleural Effusion	Female	Unknown	Unknown	ACH-000147	905945	T47D_BREAST
EGI-1	Biliary Tract Carcinoma	Biliary Tract	SIDM01050	Adherent	MSS	True	True	True	True	True	True	Cholangiocarcinoma	Unknown	Male	White	Unknown	ACH-001494	906853	EGI1_BILIARY_TRACT
NH-12	Neuroblastoma	Peripheral Nervous System	SIDM00577	Unknown	MSS	True	True	True	True	False	True	Neuroblastoma	Adrenal Tissue	Male	Unknown	Unknown	ACH-001603	908447	NH12_AUTONOMIC_GANGLIA
MCF7	Breast Carcinoma	Breast	SIDM00148	Adherent	MSS	True	True	True	True	True	True	Invasive Ductal Carcinoma not Otherwise Specified	Pleural Effusion	Female	White	Unknown	ACH-000019	905946	MCF7_BREAST
786-0	Kidney Carcinoma	Kidney	SIDM00125	Adherent	MSS	True	True	True	False	True	True	Renal Cell Carcinoma	Unknown	Male	White	Unknown	ACH-000649	905947	786O_KIDNEY
EJM	Plasma Cell Myeloma	Haematopoietic and Lymphoid	SIDM01048	Unknown	MSS	True	True	True	False	True	True	Plasma Cell Myeloma	Peritoneal fluid	Female	Unknown	Unknown	ACH-000821	1297447	EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
G-402	Other Solid Carcinomas	Soft Tissue	SIDM00855	Adherent	MSS	True	True	True	False	False	True	Epithelioid Cell Type Gastrointestinal Stromal Tumor	Kidney	Female	White	Unknown	ACH-000375	907298	G402_SOFT_TISSUE
KYSE-150	Esophageal Squamous Cell Carcinoma	Esophagus	SIDM01031	Adherent	MSS	True	True	True	True	True	True	Esophageal Squamous Cell Carcinoma	Upper (cervical) oesophagus	Female	Unknown	Unknown	ACH-000855	907317	KYSE150_OESOPHAGUS
TGBC24TKB	Biliary Tract Carcinoma	Biliary Tract	SIDM00267	Adherent	MSS	True	True	True	False	True	True	Gallbladder Carcinoma	Ascites	Female	East Asian	Unknown	ACH-002312	910695	TGBC24TKB_BILIARY_TRACT
NCI-H1975	Non-Small Cell Lung Carcinoma	Lung	SIDM00759	Adherent	MSS	True	True	True	True	True	True	Lung Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000587	924244	NCIH1975_LUNG
KOPN-8	B-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM01034	Suspension	MSS	True	True	True	False	True	True	Childhood Precursor B Lymphoblastic Leukemia	Peripheral Blood	Female	Unknown	Unknown	ACH-001106	1330933	KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUP-HD1	Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00422	Suspension	MSS	True	True	True	False	True	True	Hodgkin's Lymphoma	Unknown	Male	Unknown	Unknown	ACH-001203	1331039	SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PF-382	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00451	Suspension	MSS	True	True	True	False	True	True	Childhood T Acute Lymphoblastic Leukemia	Pleural effusion	Female	Unknown	Unknown	ACH-000937	909260	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUP-M2	T-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00421	Suspension	MSS	True	True	True	False	True	True	Anaplastic Large Cell Lymphoma	Cerebrospinal fluid 	Female	Unknown	Unknown	ACH-000226	1331040	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SNU-175	Colorectal Carcinoma	Large Intestine	SIDM00216	Suspension	MSI	True	True	True	False	True	True	Colon Adenocarcinoma	Peritoneum	Female	East Asian	Unknown	ACH-000989	1659928	SNU175_LARGE_INTESTINE
RD	Rhabdomyosarcoma	Soft Tissue	SIDM00847	Adherent	MSS	True	True	True	False	True	True	Embryonal Rhabdomyosarcoma	Muscle	Female	White	Unknown	ACH-000169	909264	RD_SOFT_TISSUE
CAL-78	Chondrosarcoma	Bone	SIDM00929	Adherent	MSS	True	True	True	False	True	True	Chondrosarcoma	Thigh muscle	Male	Unknown	Unknown	ACH-000516	1290765	CAL78_BONE
RH-41	Rhabdomyosarcoma	Soft Tissue	SIDM00426	Adherent	MSS	True	True	True	False	True	True	Alveolar Rhabdomyosarcoma	Liver	Female	Unknown	Unknown	ACH-000100	1240210	RH41_SOFT_TISSUE
NCI-H1155	Non-Small Cell Lung Carcinoma	Lung	SIDM00651	Suspension	MSS	True	True	True	True	False	True	Large Cell Lung Carcinoma	Lymph node	Male	White	Unknown	ACH-000980	908467	NCIH1155_LUNG
CA46	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM00907	Suspension	MSS	True	True	True	False	False	True	Burkitt's Lymphoma	Unknown	Male	Unknown	Unknown	ACH-000440	910703	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
L-428	Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00327	Suspension	MSS	True	True	True	False	True	True	Hodgkin's Lymphoma	Pleural effusion	Female	Unknown	Unknown	ACH-000754	907322	L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCI-H1573	Non-Small Cell Lung Carcinoma	Lung	SIDM00749	Adherent	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Soft tissue	Female	White	Unknown	ACH-000916	908472	NCIH1573_LUNG
huH-1	Hepatocellular Carcinoma	Liver	SIDM00586	Unknown	MSS	True	True	True	False	True	True	Hepatocellular Carcinoma	Unknown	Male	East Asian	Unknown	ACH-000475	1298146	HUH1_LIVER
8-MG-BA	Glioblastoma	Central Nervous System	SIDM00998	Adherent	MSS	True	True	True	True	True	True	Glioblastoma	Frontal Brain lobe	Female	Unknown	Unknown	ACH-000137	687562	8MGBA_CENTRAL_NERVOUS_SYSTEM
CADO-ES1	Ewing's Sarcoma	Bone	SIDM00961	Adherent	MSS	True	True	True	False	True	True	Ewing's Sarcoma	Pleural Effusion	Female	East Asian	Unknown	ACH-000210	753539	CADOES1_BONE
OE19	Esophageal Carcinoma	Esophagus	SIDM00479	Adherent	MSS	True	True	True	False	True	True	Esophageal Adenocarcinoma	Esophagus	Male	White	Unknown	ACH-000679	910079	OE19_OESOPHAGUS
HCC1806	Breast Carcinoma	Breast	SIDM00875	Adherent	MSS	True	True	True	True	True	True	Squamous Cell Breast Carcinoma Acantholytic Variant	Mammary gland	Female	Black	Unknown	ACH-000624	907047	HCC1806_BREAST
Daoy	Other Solid Carcinomas	Central Nervous System	SIDM00887	Adherent	MSS	True	True	True	False	True	True	Medulloblastoma 	Cerebellum	Male	White	Unknown	ACH-000211	906833	DAOY_CENTRAL_NERVOUS_SYSTEM
GOTO	Neuroblastoma	Peripheral Nervous System	SIDM00544	Adherent	MSS	True	True	True	False	True	True	Neuroblastoma	Adrenal Gland	Unknown	Unknown	Unknown	ACH-001716	906875	GOTO_AUTONOMIC_GANGLIA
LU-135	Small Cell Lung Carcinoma	Lung	SIDM00294	Semi-Adherent	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Unknown	Male	East Asian	Unknown	ACH-001549	713899	LU135_LUNG
SIMA	Neuroblastoma	Peripheral Nervous System	SIDM00395	Adherent	MSS	True	True	True	False	True	True	Neuroblastoma	Adrenal Tissue	Male	Other	Unknown	ACH-000099	753620	SIMA_AUTONOMIC_GANGLIA
DMS-53	Small Cell Lung Carcinoma	Lung	SIDM00523	Adherent	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Unknown	Male	White	Unknown	ACH-000698	907295	DMS53_LUNG
JVM-2	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM01013	Suspension	MSS	True	True	True	False	True	True	Mantle Cell Lymphoma	Peripheral blood	Female	Unknown	Unknown	ACH-000106	907269	JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
U-87-MG	Glioblastoma	Central Nervous System	SIDM01189	Adherent	MSS	True	True	True	True	True	True	Glioblastoma	Brain	Male	Unknown	Unknown	ACH-000075	687590	U87MG_CENTRAL_NERVOUS_SYSTEM
GCT	Other Solid Carcinomas	Soft Tissue	SIDM00853	Adherent	MSS	True	True	True	False	True	True	Malignant Fibrous Histiocytoma	Lung	Male	Unknown	Unknown	ACH-000835	906999	GCT_SOFT_TISSUE
CHSA8926	Chondrosarcoma	Bone	SIDM00176	Unknown	MSS	True	True	True	False	True	True	Chondrosarcoma	Unknown	Unknown	Unknown	Unknown	ACH-002094	1303912	CHSA8926_BONE
NCI-H1650	Non-Small Cell Lung Carcinoma	Lung	SIDM00745	Adherent	MSS	True	True	True	True	True	True	Bronchiolo-Alveolar Lung Carcinoma	Pleural effusion	Male	White	Unknown	ACH-000035	687800	NCIH1650_LUNG
MFE-319	Endometrial Carcinoma	Endometrium	SIDM00333	Adherent	MSI	True	True	True	False	True	True	Adenosquamous Endometrial Carcinoma	Unknown	Female	Unknown	Unknown	ACH-000988	1240174	MFE319_ENDOMETRIUM
DG-75	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM00948	Suspension	MSI	True	True	True	False	True	True	Burkitt's Lymphoma	Pleural Effusion	Male	Unknown	Unknown	ACH-002232	906838	DG75_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SNU-1	Gastric Carcinoma	Stomach	SIDM01146	Suspension	MSI	True	True	True	True	False	True	Gastric Carcinoma	Stomach	Male	East Asian	Unknown	ACH-000932	908444	SNU1_STOMACH
NCI-H661	Non-Small Cell Lung Carcinoma	Lung	SIDM01122	Adherent	MSS	True	True	True	False	True	True	Large Cell Lung Carcinoma	Lymph node	Male	White	Unknown	ACH-000853	687829	NCIH661_LUNG
UACC-257	Melanoma	Skin	SIDM00108	Unknown	MSS	True	True	True	False	False	True	Melanoma	Unknown	Unknown	Unknown	Unknown	ACH-000579	905977	UACC257_SKIN
TE-4	Esophageal Squamous Cell Carcinoma	Esophagus	SIDM00250	Adherent	MSS	True	True	True	True	True	True	Esophageal Squamous Cell Carcinoma	Lymph Node	Unknown	Unknown	Unknown	ACH-000917	1503371	TE4_OESOPHAGUS
NCI-H446	Small Cell Lung Carcinoma	Lung	SIDM00965	Semi-Adherent	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Pleural effusion	Male	White	Unknown	ACH-000800	688023	NCIH446_LUNG
HCC-827	Non-Small Cell Lung Carcinoma	Lung	SIDM01067	Adherent	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Lung	Female	Unknown	Unknown	ACH-000012	1240146	HCC827_LUNG
BT-20	Breast Carcinoma	Breast	SIDM00893	Adherent	MSS	True	True	True	False	True	True	Breast Adenocarcinoma	Mammary gland	Female	White	Unknown	ACH-000536	906801	BT20_BREAST
EW-18	Ewing's Sarcoma	Bone	SIDM00197	Unknown	MSS	True	True	True	False	True	True	Ewing's Sarcoma	Unknown	Unknown	Unknown	Unknown	ACH-002115	949164	EW18_BONE
VM-CUB-1	Bladder Carcinoma	Bladder	SIDM00414	Adherent	MSS	True	True	True	False	True	True	Bladder Carcinoma	Unknown	Male	Unknown	Unknown	ACH-000545	909780	VMCUB1_URINARY_TRACT
JIMT-1	Breast Carcinoma	Breast	SIDM01037	Adherent		False	True	True	True	True	True	Breast Carcinoma	Pleural effusion	Female	Unknown	Unknown	ACH-000711	1298157	JIMT1_BREAST
MDST8	Colorectal Carcinoma	Large Intestine	SIDM00527	Adherent	MSS	True	True	True	True	False	True	Colon Carcinoma	Unknown	Unknown	Unknown	Unknown	ACH-000935	1240173	MDST8_LARGE_INTESTINE
